Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
BICR 10	Head-Neck	NA	Oral Cavity	Carcinoma Squamous Cell	NA	NA	NA	NA	170	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
BICR 22	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	NA	NA	NA	NA	217	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BICR 22	NA
BICR 31	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	NA	NA	NA	NA	199	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BICR 31	NA
BICR 78	Head-Neck	NA	Oral Cavity	Carcinoma Squamous Cell	NA	NA	NA	NA	74	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
BJAB	Lymphoid	NA	Lymph Node	Lymphoma B-cell	NA	NA	NA	NA	487	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	NA	NA
BT-20	Breast	NA	Breast	Carcinoma	74	Years	Female	Caucasian	569	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BT-20	BT-20
BT-474	Breast	Soft Tissue	Breast	Adenocarcinoma Ductal	60	Years	Female	Caucasian	568	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BT-474	NA
BT-483	Breast	NA	Breast	Adenocarcinoma Ductal	23	Years	Female	Caucasian	567	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BT-483	NA
BT-549	Breast	NA	Breast	Adenocarcinoma Ductal	72	Years	Female	Caucasian	566	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BT-549	BT-549
BxPC-3	Pancreas	NA	Pancreas	Adenocarcinoma	61	Years	Female	NA	325	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BxPC-3	BxPC-3
C-33 A	Cervix	NA	Cervix	Carcinoma	NA	NA	NA	NA	193	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	C-33-A
C170	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	523	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
C2BBe1	Colo-Rectal	NA	Colon	Adenocarcinoma	72	Years	Male	Caucasian	264	TRUE	DMEM; 10% FBS; 2mM L-Glutamine	90% FBS; 10% DMSO	C2BBe1	C2BBe1
C32	Skin	NA	Skin	Melanoma	53	Years	Male	Caucasian	73	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	C32	C32
C32TG	Skin	NA	Skin	Melanoma	53	Years	Male	Caucasian	73	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
C3A	Liver	NA	Liver	Carcinoma	NA	NA	NA	NA	72	FALSE	#N/A	#N/A	C3A	C3A
Ca Ski	Cervix	NA	Cervix	Carcinoma	NA	NA	NA	NA	269	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	Ca-Ski
CA46	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	NA	NA	Male	NA	486	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CA46	CA46
Caco-2	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	264	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
Caki-1	Kidney	NA	Kidney	Adenocarcinoma Clear Cell	49	Years	Male	Caucasian	211	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Caki-1	CAKI-1
Caki-2	Kidney	NA	Kidney	Carcinoma	69	Years	Male	Caucasian	165	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	Caki-2	NA
CAL 27	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	56	Years	Male	Caucasian	120	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CAL 27	CAL-27
CAL 54	Kidney	NA	Kidney	Carcinoma	NA	NA	NA	NA	210	TRUE	DMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	CAL-54	CAL-54
CAL-120	Breast	Effusion, Pleural	Breast	Adenocarcinoma	43	Years	Female	NA	565	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CAL-120	CAL-120
CAL-12T	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	Male	NA	243	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CAL-12T	CAL-12T
CAL-148	Breast	Effusion, Pleural	Breast	Adenocarcinoma	58	Years	Female	NA	564	TRUE	RPMI-1640, 10% FBS, 10ng/ml EGF, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CAL-148	CAL-148
CAL-85-1	Breast	NA	Breast	Adenocarcinoma	35	Years	Female	NA	563	TRUE	DMEM, 10% FBS, 2mM L-glutamine	Complete growth medium, 90%; DMSO, 10%	CAL-85-1	CAL-85-1
CAL51	Breast	Effusion, Pleural	Breast	Adenocarcinoma	45	Years	Female	NA	351	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CAL-51	CAL-51
Calu-1	Lung	NA	Lung	Carcinoma	47	Years	Female	Caucasian	NA	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Calu-1	Calu-1
Calu-3	Lung	NA	Lung	Adenocarcinoma	25	Years	Male	Caucasian	511	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Calu-3	Calu-3
Calu-6	Lung	NA	Lung	Carcinoma Anaplastic	61	Years	Female	Caucasian	510	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Calu-6	Calu-6
CAMA-1	Breast	NA	Breast	Adenocarcinoma	51	Years	Female	Caucasian	562	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete Growth media, 10% DMSO	CAMA-1	CAMA-1
Caov-3	Ovary	NA	Ovary	Adenocarcinoma	54	Years	Female	Caucasian	NA	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	Caov-3	Caov-3
Capan-1	Pancreas	NA	Pancreas	Adenocarcinoma	40	Years	Male	Caucasian	426	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	Capan-1	CAPAN-1
Capan-2	Pancreas	NA	Pancreas	Adenocarcinoma	56	Years	Male	Caucasian	425	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	Capan-2	Capan-2
CaR-1	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	24	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	CaR-1
CCRF-SB	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	NA	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
CFPAC-1	Pancreas	NA	Pancreas	Adenocarcinoma Ductal	NA	NA	Male	Caucasian	424	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	CFPAC-1	CFPAC-1
ChaGo-K-1	Lung	NA	Lung	Carcinoma	45	Years	Male	NA	242	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	ChaGo-K-1	ChaGo-K-1
CHL-1	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	241	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CHL-1	CHL-1
CHP-212	Brain	NA	Brain	Neuroblastoma	NA	NA	NA	NA	297	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	CHP-212	CHP-212
CI-1	Lymphoid	NA	Lymph Node	Lymphoma Non-Hodgkins	38	Years	Female	NA	485	TRUE	RPMI-1640, 20% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	CI-1	NA
CL-11	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	529	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CL-11	NA
CL-34	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Female	NA	528	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	CL-34	NA
CL-40	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Female	NA	527	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CL-40	NA
COLO 201	Colo-Rectal	NA	Colon	Adenocarcinoma	70	Years	Male	Caucasian	263	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO 201	NA
COLO 205	Colo-Rectal	Ascites	Colon	Adenocarcinoma	70	Years	Male	Caucasian	263	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO 205	COLO-205
COLO 206F	Colo-Rectal	NA	Colon	Adenocarcinoma	70	Years	Male	NA	263	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COLO 320DM	Colo-Rectal	NA	Colon	Carcinoma	55	Years	Female	Caucasian	526	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COLO 678	Colo-Rectal	NA	Colon	Carcinoma	69	Years	Male	NA	524	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO-678	COLO-678
COLO 679	Skin	NA	Skin	Melanoma	47	Years	Female	NA	606	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO-679	COLO-679
COLO 680N	Head-Neck	NA	Esophagus	Carcinoma Squamous Cell	57	Years	Female	African	30	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO-680N	COLO-680N
COLO 699	Lung	NA	Lung	Adenocarcinoma	57	Years	Female	NA	241	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COLO 741	Colo-Rectal	NA	Colon	Carcinoma	69	Years	NA	NA	525	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% Complete Growth Media, 10% DMSO	COLO 741	COLO-741
COLO 792	Skin	NA	Skin	Melanoma	62	Years	Male	NA	45	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO 792	COLO-792
COLO 794	Skin	NA	Skin	Melanoma	14	Years	Male	NA	71	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COLO 800	Skin	NA	Skin	Melanoma	14	Years	Male	NA	71	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO-800	COLO-800
COLO 829	Skin	NA	Skin	Melanoma	45	Years	Male	Caucasian	70	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO 829	NA
COLO 849	Skin	Lymph Node	Skin	Melanoma Metastatic	43	Years	Male	Caucasian	NA	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	COLO-849	NA
COLO 853	Skin	NA	Skin	Melanoma	43	Years	Male	NA	70	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COLO 857	Skin	NA	Skin	Melanoma	43	Years	Male	NA	70	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COLO-704	Ovary	NA	Ovary	Adenocarcinoma	46	Years	Female	Caucasian	140	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	COLO-704	NA
COLO-783	Skin	Lymph Node	Skin	Melanoma Metastatic	48	Years	Female	NA	201	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COLO-783	NA
COLO-818	Skin	NA	Skin	Melanoma Metastatic	NA	NA	NA	NA	71	FALSE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	NA	NA
COR-L26	Lung	NA	Lung	Carcinoma Large Cell	NA	NA	Female	NA	157	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COR-L279	Lung	NA	Lung	Carcinoma Small Cell	63	Years	Male	NA	192	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COR-L279	COR-L279
COR-L47	Lung	NA	Lung	Carcinoma Small Cell	67	Years	Male	Caucasian	99	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COR-L47	NA
COR-L88	Lung	NA	Lung	Carcinoma Small Cell	55	Years	Male	Caucasian	98	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COR-L88	COR-L88
COV318	Ovary	Ascites	Ovary	Carcinoma	NA	NA	NA	NA	228	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COV318	NA
COV362	Ovary	Pleura	Ovary	Carcinoma	NA	NA	NA	NA	206	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COV362	NA
COV413A	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	205	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COV413B	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	205	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
COV434	Ovary	NA	Ovary	Tumor Granulosa Cell	NA	NA	Female	NA	227	TRUE	DMEM; 10% FBS; 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COV434	NA
COV504	Ovary	Pleura	Ovary	Carcinoma	NA	NA	NA	NA	204	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COV504	NA
COV644	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	112	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	COV644	NA
CPC-N	Lung	NA	Lung	Carcinoma Small Cell	NA	NA	NA	NA	97	TRUE	McCoys 5A, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CPC-N	CPC-N
CW-2	Colo-Rectal	NA	Colon	Carcinoma	45	Years	Female	Japanese	22	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	CW-2	CW-2
CX-1	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	172	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
DAN-G	Pancreas	NA	Pancreas	Adenocarcinoma	NA	NA	NA	NA	324	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DAN-G	NA
Daudi	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	NA	NA	NA	NA	583	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	Daudi	Daudi
DB	Lymphoid	NA	Lymph Node	Lymphoma B-cell	45	Years	Male	Caucasian	484	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	Complete Growth Media, 90%; DMSO, 10%	DB	DB
DEOC-1	Skin	NA	Skin	Melanoma	59	Years	Male	Japanese	NA	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
Detroit 562	Head-Neck	NA	Nasal Pharynx	Carcinoma	NA	NA	Female	Caucasian	169	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; DMSO, 10%	Detroit 562	Detroit562
DLD-1	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Male	NA	523	FALSE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DLD-1	NA
DMS 273	Lung	NA	Lung	Carcinoma Small Cell	50	Years	Female	NA	156	TRUE	Waymouth's MB 752/1 medium, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DMS 273	DMS-273
DMS 454	Lung	NA	Lung	Carcinoma Small Cell	NA	NA	Male	NA	48	TRUE	Waymouth's MB 752/1 medium, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DMS 454	NA
DMS 53	Lung	NA	Lung	Carcinoma Small Cell	54	Years	Male	Caucasian	5	TRUE	Waymouth's MB 752/1 medium, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DMS 53	DMS-53
DMS 79	Lung	NA	Lung	Carcinoma Small Cell	65	Years	NA	Caucasian	191	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DMS 79	DMS-79
DOHH-2	Lymphoid	Effusion, Pleural	Lymph Node	Lymphoma B-cell	60	Years	Male	NA	483	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	90% Complete growth medium; 10% DMSO	DOHH-2	DOHH-2
DOK	Head-Neck	NA	Tongue	Dysplasia	NA	NA	NA	NA	198	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	DOK
DOR 13	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	440	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
DU 145	Other	NA	Prostate	Carcinoma	69	Years	Male	Caucasian	134	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DU 145	DU-145
DU4475	Breast	NA	Breast	Carcinoma	70	Years	Female	Caucasian	103	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DU4475	DU-4475
DV-90	Lung	NA	Lung	Adenocarcinoma	50	Years	Male	NA	240	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	DV-90	DV-90
EB-3	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	3	Years	Male	African	482	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	EB-3
EB1	Lymphoid	NA	Lymph Node	Malignant Lymphoma - Burkitts Type	NA	NA	NA	NA	104	FALSE	RPMI-1640 10% HI FBS, 2mM Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	EB1	NA
EB2	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	7	Years	Female	African	104	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EB2	EB2
EBC-1	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	509	TRUE	RPMI-1640, 10% TET Free FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EBC-1	NA
